
aback	ետ, ետեվից, taken ~ - ապշած, շփոթված, հանկարծակիի եկած
abandoned	լքված, մոլի
abandonment	լքում, թողնելը, հրաժարվելը, լքվածություն, անկաշկանդություն
abandon	թողնել, լքել, հրաժարվել, անկաշկանդություն, անբռնազբոսիկություն
abasement	իջեցում(պաշտոնի, աստիճանի), նվաստացում, ստորացում
abase	իջեցնել(պաշտոնը, աստիճանը), նվաստացնել, ստորացնել
abashment	շփոթվելը, շփոթմունք, ամաչելը
abash	շփոթեցնել, ամաչեցնել
abatement	պակասեցում, մեղմացում, իջեցում, կարճում
abate	նվազեցնել, մեղմացնել, թուլացնել, իջեցնել, բթացնել, դադարեցնել
abbacy	աբբայություն, աբբայի պաշտոնը կամ կոչումը
abbess	աբբայուհի, վանամայր
abbes	աբբասուհի, վանամայր, մայրապետ
abbey	աբբայություն, վանք
abbot	աբբա, վանահայր
abbreviate	կրճատել, հապավել
abbreviation	կրճատում, հապավում
abb	ոստայն
abc	այբուբեն, այբբենարան, պարզ, հիմունքներ, տարրական
abdicate	հրաժարվել(իրավունքից, լիազորությունից, գահից եվ այլն)
abdication	հրաժարում (գահից)
abdomen	որովայնի խոռոչ, փորիկ (միջատի)
abdominal	որովայնային
abdominous	հաստափոր
abduction	առեվանգում, հափշտակում
abductor	առեվանգող, հափշտակող, բացատար մկան
abduct	առեվանգել, փախցնել
abecedarian	այբբենական կարգով դասավորված, տարրական, անուս, կիսագրագետ
abed	անկողնում
aberration	մոլորություն, շեղում, տկարամտություն, խոտորում
abetment	դրդում
abet	դրդել
abhorrence	զզվանք, գարշանք, նողկանք, ատելություն
abhorrent	զզվելի, նողկալի, ատելի, անհամատեղելի
abhor	զզվել, գարշել, նողկալ, ատել
abidance	պահպանելը, կատարելը (օրենքի), մնալը (որեվէ տեղում)
abide	մնալ, ապրել, սպասել, համբերել, տանել, հաշտվել
abiding	մշտական, հաստատուն
ability	ընդունակություն, կարողություն, շնորհք, իրավասություն
abjection	ստորացում, նվաստացում
abject	խղճուկ, ստոր, անարգ, արհամարհելի, ստորացած,
abjuration	ուրացում, հրաժարում
abjure	ուրանալ, հրաժարվել
ablation	հեռացում, ապառի քայքայում
ablaze	լույսով ողողված, փայլուն, գրգռված, հուզված, բոցերի մեջ
able-bodied	ամրակազմ, առողջ
able	ընդունակ, կարող
abloom	ծաղկած վիճակում
ablush	շիկնած, շփոթված
ablution	լվացում, մաքրում, լվանալը
ably	վարպետորեն, ճարպկությամբ
abnegate	ուրանալ, ժխտել
abnegation	հրաժարում, ինքնազոհություն, բացասում, անձնազոհություն, ժխտում
abnormality	աննորմալություն, անկանոնություն
abnormal	անկանոն, անբնական, ապօրեն
aboard	նավի վրա, երկայնությամբ
abode	բնակատեղ, բնակավայր, օթեվան, past, p.p.abide - մնալ, ապրել, սպասել, համբերել, տանել, հաշտվել
abolish	վերացնել, ոչնչացնել
abolitionism	աբոլիցիոնիզմ
abolition	վերացում, ոչնչացում
abomb	ատոմային ռումբ
abominable	զզվելի, գարշելի, նողկալի, վանող
abominate	զզվել, գարշել, նողկալ
abomination	զզվանք, զզվելի բան
abonent user	հաշվողական տեխնիկայից օգտվելուիրավունք ունեցող անձ (խումբ)
aboriginal	բնիկ, տեղական, հիմնական, տեղացի
abortion	վիժում, աբորտ, անհաջողություն
abortive	վաղաժամ(ծնունդի մասին), տհաս, չհաջողված, ձախողված, չհասունացած
abort	վիժել, ձախողվել, անհաջողություն կրել
abound	առատ լինել, հորդել, վխտալ
about	մոտ, մոտավորապես, մոտակայքում, համարյա, շուրջը
above board	ազնիվ, բացեիբաց, ուղղամիտ
above	վերեվում, մինչեվ, ոչ ուշ քան, ավելի, ավելի քան, վեր
abrade	սրբել, շփելով մաշեցնել, հղկել, քերթել, հղկելով փայլ տալ
abrasion	ճանկռվածք, քերծվածք, քայքայում, ողողում, հղկում, մաքրում, մաշում
abrasive	հղկող, ողորկող (նյութ)
abreast	մի գծի վրա, կողք կողքի, հավասար, միեվնույն մակարդակի վրա
abridgement	կրճատում, սահմանափակում, համառոտ շարադրանք, կոնսպեկտ
abridge	ամփոփել, համառոտել, կարճեցնել
abridge	կրճատել, սահմանափակել, զրկել
abridgment	կրճատում, սահմանափակում, համառոտ շարադրանք, կոնսպեկտ
abroad	արտասահման(ում), տնից դուրս, ամենուրեք, մոլորության մեջ
abrogate	վերացնել, չեղյալ հայտարարել
abrogation	վերացում, ոչնչացում
abruption	ճեղքում, անջատում, բաժանում
